Model,MAE,MSE,RMSE,R2
Random Forest,1.2230603369881896,2.809977626754141,1.6762987880309825,0.9693608592235865
Decision Tree,1.6316749277460492,6.2152761670948635,2.493045560573425,0.932230520401731
Gradient Boosting,2.330713423681539,8.530737541531836,2.9207426352781987,0.9069834343259352
Linear Regression,2.7482733884653308,11.803731581559633,3.435655917224487,0.871295703506309
