Model,MAE,MSE,RMSE,R2
LSTM,4.307155680482491,31.191070413208283,5.584896634066586,0.3014832146934321
GRU,4.7844245955927756,34.405748237290894,5.865641332138447,0.22949125065607068
CNN-LSTM,4.760154811751628,35.05098400296057,5.92038714975301,0.21504134538415853
