Model,MAE,MSE,RMSE,R2
ARIMA,2.3645,7.8129,2.7951,-0.6051
SARIMA,2.2931,7.384,2.7174,-0.517
Holt-Winters,5.2619,41.8781,6.4713,-7.6035
Prophet,24.2037,901.5134,30.0252,-184.2085
