,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Year,Month,Day,Hour,DayOfWeek
count,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0,95912.0
mean,11.937974914504961,10.859193844357328,0.7348440236883809,10.806764096254899,187.50698557010594,10.36230609829844,0.0,1003.1469589832348,2010.97955417466,6.511792059387772,15.704823171240303,11.497914755192259,3.0003336391692383
std,9.569619988302863,10.716711377378797,0.19571709567402798,6.920503558518211,107.3783094338001,4.174204366864768,0.0,117.29148429914433,3.1553146149508087,3.4498942023504684,8.79829157954291,6.922061660312412,1.9998383574812972
min,-21.822222222222223,-27.716666666666665,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,1.0,0.0,0.0
25%,4.594444444444446,2.272222222222224,0.6,5.8121,116.0,8.355900000000002,0.0,1011.89,2008.0,4.0,8.0,5.0,1.0
50%,12.022222222222222,12.022222222222222,0.78,9.9337,180.0,10.0464,0.0,1016.42,2011.0,7.0,16.0,11.0,3.0
75%,18.84444444444445,18.84444444444445,0.89,14.1358,290.0,14.812,0.0,1021.05,2014.0,9.0,23.0,17.0,5.0
max,39.90555555555555,39.34444444444444,1.0,63.8526,359.0,16.1,0.0,1046.38,2016.0,12.0,31.0,23.0,6.0
